sideEffects,price,drugName,dosageInfo,dosage,contraindications,warningsAndPrecautions,conditions,basicInfo,drugForm,StorageConditions,howToTake,otherPrecautions
['\r\n\r\n\t'], Rifampicin,['A - Cox - 450'],[],['22.00'],[],[],[],"['\r\n\t\t\t\r\n Medindia currently has ', '  generic drugs and ', '  brands that have their prices listed. New drugs with their prices are listed as and when they get approved by the drug controller. Please do write to us (', ') if a drug is missing from our comprehensive drug price list.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Capsule/ Tablet,[],[],[]
"['•', ':\r\n\r\n \r\nNausea, headache, sleeplessness, genital itching in women, dizziness, vaginal inflammation, diarrhea and vomiting. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nWeakness, chills, uneasiness, extremity pain and nosebleed.  ', '\r\n\r\n•', ':\r\n\r\n\r\nHeart arrest, fluid retention, high blood pressure, low blood pressure, palpitations and dilatation of blood vessels. ', '\r\n\r\n•', ':\r\n\r\nIndigestion.  ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nBurning, irritation, pain and rash of the female genitalia, painful menstrual period, irregular periods, painful urination, urinary frequency and urinary retention. ', '\r\n\r\n \r\n•', ':\r\n\r\n\r\nJoint/muscle pain.  ', '\r\n\r\n•', ':\r\n\r\n\r\nSeizures, anxiety, cognitive change, depression, dream abnormality, emotion, hallucinations, tingling, fainting, unsteadiness, tremor and confusion. ', '\r\n\r\n•', ':\r\n\r\n\r\nIncreased thirst and weight loss. ', '\r\n\r\n•', ':\r\n\r\n\r\nRespiratory arrest, cough and runny nose.  ', '\r\n\r\n•', ':\r\n\r\n\r\nShock, increased sweating and hives. ', '\r\n\r\n•', ':\r\n\r\nHearing loss, ringing in the ear, and sensitivity to light. \r\n\r\n\r\n', '\r\n\r\n\t']", Ofloxacin,['A -Flox 100'],"['Adult- PO- The recommended dose range is 200 to 800 mg per day in divided doses. ', '\r\n\r\nEye drops- Instill 1-2 drops into affected eye(s) every 4 hours. \r\n']",['22.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of joint problems, rheumatoid arthritis, heart, kidney, or lung transplant; Alzheimer disease, seizures, stroke, central nervous system disorder, heart, liver, or kidney disease, decrease in blood minerals, any allergy, who are taking other medications, children, elderly, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause drowsiness, dizziness, or light-headedness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight. ', '•\r\n\r\n\r\n It may affect blood sugar level; monitor sugar level regularly. ', '•\r\n\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n Avoid long-term use of this medication; otherwise it may cause secondary infection.\r\n\r\n']","['Acute Ear Infection', 'MRSA - The Super Bug', 'Pneumonia', 'Skin Disease', 'Skin Disorder', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a fluoroquinolone antibiotic, prescribed for certain types of bacterial infections such as chronic bronchitis, pneumonia, skin and skin structure infections, and others.\xa0It  fights bacteria in the body. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature (25-30°C).'],"['It comes as a tablet to take by mouth, with or without food. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n']",[' Avoid excess dosage.']
"['•', ':\r\n\r\n \r\nNausea, headache, sleeplessness, genital itching in women, dizziness, vaginal inflammation, diarrhea and vomiting. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nWeakness, chills, uneasiness, extremity pain and nosebleed.  ', '\r\n\r\n•', ':\r\n\r\n\r\nHeart arrest, fluid retention, high blood pressure, low blood pressure, palpitations and dilatation of blood vessels. ', '\r\n\r\n•', ':\r\n\r\nIndigestion.  ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nBurning, irritation, pain and rash of the female genitalia, painful menstrual period, irregular periods, painful urination, urinary frequency and urinary retention. ', '\r\n\r\n \r\n•', ':\r\n\r\n\r\nJoint/muscle pain.  ', '\r\n\r\n•', ':\r\n\r\n\r\nSeizures, anxiety, cognitive change, depression, dream abnormality, emotion, hallucinations, tingling, fainting, unsteadiness, tremor and confusion. ', '\r\n\r\n•', ':\r\n\r\n\r\nIncreased thirst and weight loss. ', '\r\n\r\n•', ':\r\n\r\n\r\nRespiratory arrest, cough and runny nose.  ', '\r\n\r\n•', ':\r\n\r\n\r\nShock, increased sweating and hives. ', '\r\n\r\n•', ':\r\n\r\nHearing loss, ringing in the ear, and sensitivity to light. \r\n\r\n\r\n', '\r\n\r\n\t']", Ofloxacin,['A flox'],"['Adult- PO- The recommended dose range is 200 to 800 mg per day in divided doses. ', '\r\n\r\nEye drops- Instill 1-2 drops into affected eye(s) every 4 hours. \r\n']",['28.50'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of joint problems, rheumatoid arthritis, heart, kidney, or lung transplant; Alzheimer disease, seizures, stroke, central nervous system disorder, heart, liver, or kidney disease, decrease in blood minerals, any allergy, who are taking other medications, children, elderly, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause drowsiness, dizziness, or light-headedness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight. ', '•\r\n\r\n\r\n It may affect blood sugar level; monitor sugar level regularly. ', '•\r\n\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n Avoid long-term use of this medication; otherwise it may cause secondary infection.\r\n\r\n']","['Acute Ear Infection', 'MRSA - The Super Bug', 'Pneumonia', 'Skin Disease', 'Skin Disorder', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a fluoroquinolone antibiotic, prescribed for certain types of bacterial infections such as chronic bronchitis, pneumonia, skin and skin structure infections, and others.\xa0It  fights bacteria in the body. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature (25-30°C).'],"['It comes as a tablet to take by mouth, with or without food. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n']",[' Avoid excess dosage.']
['\r\n\r\n\t'], Betamethasone,['A -Cort'],[],['5.00'],[],[],[],"['\r\n\t\t\t\r\n Medindia currently has ', '  generic drugs and ', '  brands that have their prices listed. New drugs with their prices are listed as and when they get approved by the drug controller. Please do write to us (', ') if a drug is missing from our comprehensive drug price list.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,[],[],[]
"['•', ':\r\n\r\nSpotting, cramps, heavy periods, Excessive Urination, menstrual disorder, painful menstruation and postmenopausal vaginal bleeding and breast pain. ', '\r\n\r\n•', ':\r\n\r\nAches/pains, weakness, fatigue, fever, chills and weight changes.', '\r\n\r\n•', ':\r\n\r\nRash, inflammation, hair loss and pallor (paleness). ', '\r\n\r\n•', ':\r\n\r\nAbnormal taste, abnormal vision, inflammation of eye, deafness, ringing and pain in the ear. ', '\r\n\r\n•', ':\r\n\r\nUpper respiratory tract infection, difficulty in breathing, pneumonia and nose bleed. ', '\r\n\r\n•', ':\r\n\r\nChest pain, edema, excessive sweating, low/high blood pressure, abnormal heart rate, inflammation of blood vessels, fainting, heart attack and blood clot events. ', '\r\n\r\n•', ':\r\n \r\nNausea, GI bleeding, GI inflammation/infection, rectal disorder, vomiting, diarrhea, abnormal liver function, reflux and difficulty in swallowing. ', '\r\n\r\n•', ':\r\n\r\nAnaphylaxis. ', '\r\n\r\n•', ':\r\n\r\nExcretion of glucose into the urine, gout and increased nitrogen level. ', '\r\n\r\n•', ':\r\n\r\nExcessive urination, painful urination, blood in urine and urinary tract infection. ', '\r\n\r\n•', ':\r\n\r\nHeadache, anxiety, changes in appetite, depression, drowsiness, dizziness, thirst, impotence, loss of libido, increased sweating, nerve damage, mental disorder and confusion. ', '\r\n\r\n•', ':\r\n\r\nJoint/muscle pain, muscle cramps, stiffness and back pain. ', '\r\n\r\n•', ':\r\n\r\nAnemia, decrease in platelets, bruising and increase in ESR level.\r\n']", Misoprostol,['A Kare'],"['Adult: PO- The recommended dose is 200 mcg four times daily with food. If this dose cannot be tolerated, a dose of 100 mcg can be used.\r\n\r\n']",['500.00'],"['Contraindicated in pregnant women, and known hypersensitivity.']","['\r\n\t', '  It may cause abortion, premature birth, or birth defects, uterine rupture; it should not be used during pregnancy. ', '•\r\n\r\n Caution should be exercised in patients with history of low blood pressure, which may lead to severe complications e.g. brain or heart disease, inflammatory bowel disease and kidney impairment, elderly, children. ', '•\r\n\r\n\r\n\r\n It may lead to dehydration, drink adequate water. ']","['Abortion', 'Labor and Delivery / Pregnancy  Labor', 'Peptic Ulcer']","['\r\n\t\t\t', ' is a synthetic prostaglandin; prescribed for ulcer, labor induction, induced abortion, miscarriage, postpartum hemorrhage (blood loss during birth) and other gynecological uses.\xa0It reduces the acid secretion in stomach. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Kit,['Oral: Store it at room temperature or below 25°C (77°F) in an airtight container. '],"['It comes, as a tablet to take by mouth, with food. \r\n\r\n']","[' It may cause dizziness or drowsiness, do not drive a car or operate machinery while taking this medication. ']"
['\r\n\r\n\t'], Calcium Gluconate,['A H Plus (50+4+500)'],[],['19.00'],[],[],[],"['\r\n\t\t\t\r\n Medindia currently has ', '  generic drugs and ', '  brands that have their prices listed. New drugs with their prices are listed as and when they get approved by the drug controller. Please do write to us (', ') if a drug is missing from our comprehensive drug price list.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,[],[],[]
"['\r\nSkin sensitivity, irritation of eye, mucosal irritation and staining of the teeth and tongue, ', '\r\n\r\n\t']", Chlorhexidine,['A Fresh'],['As 0.2% solution: Rinse with 10 ml for 1 min 2-3 times/day.'],['42.00'],['Hypersensitivity.'],"['\r\n\t', ' ', ' Caution should be exercised in patients with history of any allergy, who are taking other medications, ', ', during pregnancy and breastfeeding. ', '•\r\n\r\n For external use only. ', '•\r\n\r\n\r\n Avoid contact with eyes, ears, and mouth; if the medication is accidentally swallowed nausea and stomach upset may occur.\r\n\r\n']","['Bleeding Gums', 'Halitosis', 'Periodontitis', 'Receding Gums']","['\r\n\t\t\t', ' is a chemical antiseptic, prescribed for gingivitis, cleansing skin and wound areas.\r\n\r\n\xa0It decreases the amount of bacteria in the mouth.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Mouth Wash/Gargle,['Store it at controlled room temperature (25°C).'],['It comes as liquid to rinse the affected area as directed by your physician.'],[' Avoid excess dosage.']
"['•', ':\r\n\r\n \r\nNausea, headache, sleeplessness, genital itching in women, dizziness, vaginal inflammation, diarrhea and vomiting. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nWeakness, chills, uneasiness, extremity pain and nosebleed.  ', '\r\n\r\n•', ':\r\n\r\n\r\nHeart arrest, fluid retention, high blood pressure, low blood pressure, palpitations and dilatation of blood vessels. ', '\r\n\r\n•', ':\r\n\r\nIndigestion.  ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nBurning, irritation, pain and rash of the female genitalia, painful menstrual period, irregular periods, painful urination, urinary frequency and urinary retention. ', '\r\n\r\n \r\n•', ':\r\n\r\n\r\nJoint/muscle pain.  ', '\r\n\r\n•', ':\r\n\r\n\r\nSeizures, anxiety, cognitive change, depression, dream abnormality, emotion, hallucinations, tingling, fainting, unsteadiness, tremor and confusion. ', '\r\n\r\n•', ':\r\n\r\n\r\nIncreased thirst and weight loss. ', '\r\n\r\n•', ':\r\n\r\n\r\nRespiratory arrest, cough and runny nose.  ', '\r\n\r\n•', ':\r\n\r\n\r\nShock, increased sweating and hives. ', '\r\n\r\n•', ':\r\n\r\nHearing loss, ringing in the ear, and sensitivity to light. \r\n\r\n\r\n', '\r\n\r\n\t']", Ofloxacin,['A -Flox DT'],"['Adult- PO- The recommended dose range is 200 to 800 mg per day in divided doses. ', '\r\n\r\nEye drops- Instill 1-2 drops into affected eye(s) every 4 hours. \r\n']",['28.50'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of joint problems, rheumatoid arthritis, heart, kidney, or lung transplant; Alzheimer disease, seizures, stroke, central nervous system disorder, heart, liver, or kidney disease, decrease in blood minerals, any allergy, who are taking other medications, children, elderly, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause drowsiness, dizziness, or light-headedness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight. ', '•\r\n\r\n\r\n It may affect blood sugar level; monitor sugar level regularly. ', '•\r\n\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n Avoid long-term use of this medication; otherwise it may cause secondary infection.\r\n\r\n']","['Acute Ear Infection', 'MRSA - The Super Bug', 'Pneumonia', 'Skin Disease', 'Skin Disorder', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a fluoroquinolone antibiotic, prescribed for certain types of bacterial infections such as chronic bronchitis, pneumonia, skin and skin structure infections, and others.\xa0It  fights bacteria in the body. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature (25-30°C).'],"['It comes as a tablet to take by mouth, with or without food. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n']",[' Avoid excess dosage.']
"['•', ':\r\n\r\n \r\nNausea, headache, sleeplessness, genital itching in women, dizziness, vaginal inflammation, diarrhea and vomiting. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nWeakness, chills, uneasiness, extremity pain and nosebleed.  ', '\r\n\r\n•', ':\r\n\r\n\r\nHeart arrest, fluid retention, high blood pressure, low blood pressure, palpitations and dilatation of blood vessels. ', '\r\n\r\n•', ':\r\n\r\nIndigestion.  ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nBurning, irritation, pain and rash of the female genitalia, painful menstrual period, irregular periods, painful urination, urinary frequency and urinary retention. ', '\r\n\r\n \r\n•', ':\r\n\r\n\r\nJoint/muscle pain.  ', '\r\n\r\n•', ':\r\n\r\n\r\nSeizures, anxiety, cognitive change, depression, dream abnormality, emotion, hallucinations, tingling, fainting, unsteadiness, tremor and confusion. ', '\r\n\r\n•', ':\r\n\r\n\r\nIncreased thirst and weight loss. ', '\r\n\r\n•', ':\r\n\r\n\r\nRespiratory arrest, cough and runny nose.  ', '\r\n\r\n•', ':\r\n\r\n\r\nShock, increased sweating and hives. ', '\r\n\r\n•', ':\r\n\r\nHearing loss, ringing in the ear, and sensitivity to light. \r\n\r\n\r\n', '\r\n\r\n\t']", Ofloxacin,['A -Flox 200'],"['Adult- PO- The recommended dose range is 200 to 800 mg per day in divided doses. ', '\r\n\r\nEye drops- Instill 1-2 drops into affected eye(s) every 4 hours. \r\n']",['46.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of joint problems, rheumatoid arthritis, heart, kidney, or lung transplant; Alzheimer disease, seizures, stroke, central nervous system disorder, heart, liver, or kidney disease, decrease in blood minerals, any allergy, who are taking other medications, children, elderly, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause drowsiness, dizziness, or light-headedness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight. ', '•\r\n\r\n\r\n It may affect blood sugar level; monitor sugar level regularly. ', '•\r\n\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n Avoid long-term use of this medication; otherwise it may cause secondary infection.\r\n\r\n']","['Acute Ear Infection', 'MRSA - The Super Bug', 'Pneumonia', 'Skin Disease', 'Skin Disorder', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a fluoroquinolone antibiotic, prescribed for certain types of bacterial infections such as chronic bronchitis, pneumonia, skin and skin structure infections, and others.\xa0It  fights bacteria in the body. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature (25-30°C).'],"['It comes as a tablet to take by mouth, with or without food. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n']",[' Avoid excess dosage.']
"['•', ':\r\nHeadache, inflammation of pharynx, abdominal pain, cough, drowsiness, diarrhea, nosebleed, asthma, nausea and vomiting. ', '\r\n\r\n\r\n•', ':\r\n\r\nLoss of appetite, flushing, increased salivation, urinary retention, dehydration, increased sugar, and thirst. ', '\r\n\r\n•', ':\r\n\r\nHeart failure, high blood pressure, fast heart rate, and palpitations. ', '\r\n\r\n•', ':\r\n\r\nIncoordination,  confusion, slurred speech, leg cramps, tingling, fainting, paralysis, tremor, twitching, visual defect, abnormal thinking, agitation, memory loss, sleeplessness and nervousness. ', '\r\n\r\n•', ':\r\n\r\nAbnormal liver function, aggravated tooth caries, constipation, indigestion, flatulence, stomach inflammation, piles, increased appetite, blood in stool,  rectal bleeding, mouth ulcer, tongue discoloration and  tongue swelling. ', '\r\n\r\n•', ':\r\n\r\nBladder inflammation, painful urination, blood in urine, urinary frequency, urinary incontinence, and urinary tract infection, painful menstrual period, irregular period, breast pain and vaginal inflammation. ', '\r\n\r\n•', ':\r\n\r\nDeafness, ear pain, ear damage, ringing in the ear, taste perversion, blindness and increased eye pressure. ', '\r\n\r\n\r\n•', ':\r\n\r\nMuscle weakness/pain, joint inflammation and joint pain. ', '\r\n\r\n\r\n•', ':\r\n\r\nLung inflammation, difficulty in breathing, increased sputum, pneumonia, respiratory disorder and upper respiratory tract infection. ', '\r\n\r\n•', ':\r\n\r\nPimples, hair loss, skin inflammation, eruption, dry skin, redness, itching, and hives.  ', '\r\n\r\n•', ':\r\n\r\nAccidental injury, weakness, back pain, chest pain, enlarged abdomen, face swelling, fever, hot flashes, increased weight, leg swelling, uneasiness, swelling in the extremities and rigors. ', '\r\n\r\n', '\r\n\r\n\t']", Cetirizine,['A Cold Susp.'],['Adult: PO- The recommended dose is 10 mg once daily.'],['38.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of kidney or liver disease, any allergy, who are taking other medications, elderly, children, during pregnancy and breast-feeding. ', '•\r\n It may cause drowsiness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n \r\n Avoid alcohol consumption.\r\n']","['Allergic Rhinitis', 'Allergy', 'Hives', 'Pruritus']","['\r\n\t\t\t', ' is an antihistamine, prescribed for allergic reactions.\xa0It blocks the histamine action, which reduces allergy symptoms.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Suspension   ,['Store it at room temperature (20-25°C).'],"['It comes as a tablet to take by mouth, with food.']",[' Avoid excess dosage. ']
